section,product_name,category,material,size,price,platform,log_price
REMAINING,CHANNAPATNA TOYS Wooden Nativity Christmas Russian Nesting Dolls Set for Kids (2 Years+) 6 Inch Multicolor - Set of 5 pcs Improves Fine Motor Skills,Unknown,Unknown,Unknown,549,Channapatna Toys,6.309918278
REMAINING,CHANNAPATNA TOYS Wooden Pen Pencil Stand Holder Toys Office Desktop Table Organizer 5 inch Multi color pack of 3,Unknown,Unknown,Unknown,1199,Channapatna Toys,7.090076836
REMAINING,CHANNAPATNA TOYS Wooden Pen Pencil Stand Holder Toys Office Desktop Table Organizer 5 inch Multi color pack of 4,Unknown,Unknown,Unknown,1399,Channapatna Toys,7.244227516
REMAINING,CHANNAPATNA TOYS Wooden Pen Pencil Stand Holder Toys Office Destop Table Organizer 5 inch Multi color,Unknown,Unknown,Unknown,449,Channapatna Toys,6.109247583
REMAINING,CHANNAPATNA TOYS Wooden Prince & Princess Peg Dolls | Montessori Open-Ended Pretend Play | Traditional Indian Handcrafted Toy (Set of 2),Unknown,Unknown,Unknown,499,Channapatna Toys,6.214608098
REMAINING,CHANNAPATNA TOYS Wooden Rainbow Stacking Toy & Rainbow Roly Poly Toy for Kids 1+ Stacking Blocks Toy - Set of 2,Unknown,Unknown,Unknown,1438,Channapatna Toys,7.271703707
REMAINING,CHANNAPATNA TOYS Wooden Roly Poly Balancing Dolls for Kids (1 Years+) - Set of 2 Pieces - Develops Curiosity & Fine Motor Skills New,Unknown,"Made with wood and colored with non toxic paints. No Batteries, No Plastic","9 x 12 cm & 9 x 18 cm Your little one will never tire of this wobbly friend who bounces back no matter what they do! Push, pull or grasp this cute doll, the rounded, weighted bottoms always delightfully spin them back upright for more play time fun",649,Channapatna Toys,6.476972363
REMAINING,"CHANNAPATNA TOYS Wooden Roly Poly Doll, Tumbler Toy for Kids, Wobbling Doll Game for 3 Months & Above, Montessori Toddler Toys for Baby Boy and Girl",Unknown,"Made with wood and colored with non toxic paints. No Batteries, No Plastic. What is this roly poly toy made of? Our roly poly doll is child-safe, made of sustainable wood with environment-friendly, non-toxic paints.","9 x 12 cm. Your little one will never tire of this wobbly friend who bounces back no matter what they do! Push, pull or grasp this cute doll, the rounded, weighted bottoms always delightfully spin them back upright for more play time fun",799,Channapatna Toys,6.684611728
REMAINING,"CHANNAPATNA TOYS Wooden Snowman Doll Christmas Roly Poly Toy for Baby, Toddlers, Kids(1 Year+) Wobbling Tumbler Toy- Develops Curiosity & Motor Skills",Unknown,"Made with wood and colored with non toxic paints. No Batteries, No Plastic","9 x 12 cm. Your little one will never tire of this wobbly friend who bounces back no matter what they do! Push, pull or grasp this cute doll, the rounded, weighted bottoms always delightfully spin them back upright for more play time fun",849,Channapatna Toys,6.745236349
REMAINING,CHANNAPATNA TOYS Wooden Spinning Tops for Kids (3 Years+) - Set of 4 Pcs (pack of 5)- Multi-Color - Curiosity & Fine Motor Skills,Unknown,Unknown,Unknown,1999,Channapatna Toys,7.60090246
