product_name,category,material,material_raw,size,length_cm,width_cm,height_cm,price,mrp,discount,rating,review_count,seller,platform,product_url,source_type,date_collected,verification_note
Kids Wooden Shape Sorting Board Fishing Puzzle Toys,Puzzle,Wood,Wood,One size,,,,1999.0,1999.0,0.0,5.0,5.0,HAPPY CHEEKS PRIVATE LIMITED,Myntra,https://www.myntra.com/learning-and-development-toys/kidology/kidology-kids-wooden-shape-sorting-board-fishing-puzzle-toys/30148665/buy,Direct Wooden Toy,2026-09-17,
Kids Wooden Alphabet Puzzle Educational Montessori Board 2+,Educational Toy,Wood,Wood,One size,,,,306.0,349.0,12.0,4.6,5.0,ADITI TOYS PRIVATE LIMITED,Myntra,https://www.myntra.com/learning-and-development-toys/chanak/chanak-kids-wooden-alphabet-puzzle-educational-montessori-board-2/37090057/buy,Direct Wooden Toy,2026-09-17,
Kids Wooden Kannada Letters Tracing Board,Educational Toy,Wood,Wood,One size,,,,589.0,699.0,16.0,,,KAARPAAGAA INC,Myntra,https://www.myntra.com/Learning-and-Development-Toys/Little%2BMind/Little-Mind-Kids-Wooden-Kannada-Letters-Tracing-Board/44536999/buy,Direct Wooden Toy,2026-09-17,
"Kids Set of 3 Brown Wooden Learning Board Alphabets, Numbers & Shapes Puzzle Toys",Educational Toy,Wood,Wood,One size,,,,1199.0,1199.0,0.0,4.3,229.0,Cachet India,Myntra,https://www.myntra.com/learning-and-development-toys/chocozone/chocozone-kids-set-of-3-brown-wooden-learning-board-alphabets-numbers--shapes-puzzle-toys/20379784/buy,Direct Wooden Toy,2026-09-17,
Kids Memory Game- Brain Puzzle & Memory Matching Wooden Toy,Activity Toy,Cardboard,Cardboard,Pack,,,,1499.0,1499.0,0.0,,,MIDHAS WONDERHOOD PRIVATE LIMITED,Myntra,https://www.myntra.com/learning-and-development-toys/wonderlearn/-wonderlearn-kids-blue--white-solid-memory-skill-development-game/20686238/buy,Related Wooden Toy,2026-09-17,
Wooden Number Knob Puzzle Toy Learning and Development Toys,Puzzle,Wood,Wood,One size,,,,351.0,899.0,61.0,,,PLANET OF TOYS,Myntra,https://www.myntra.com/learning-and-development-toys/planetoftoys/planet-of-toys-wooden-number-knob-puzzle-toy-learning-and-development-toys/30032897/buy,Direct Wooden Toy,2026-09-17,
Kids Montessori Learning Wooden Toys,Educational Toy,Wood,Wood,Pack,,,,3300.0,3300.0,0.0,,,CURIOUS CUB PRIVATE LIMITED,Myntra,https://www.myntra.com/activity-toys-and-games/curiouscub/curious-cub-kids-montessori-learning-wooden-toys/24440662/buy,Direct Wooden Toy,2026-09-17,
Kids Montessori Learning Wooden Toys,Educational Toy,Wood,Wood,Pack,,,,3300.0,3300.0,0.0,,,CURIOUS CUB PRIVATE LIMITED,Myntra,https://www.myntra.com/activity-toys-and-games/curiouscub/curious-cub-kids-montessori-learning-wooden-toys/24440652/buy,Direct Wooden Toy,2026-09-17,
Kids Montessori Learning Wooden Toys,Educational Toy,Wood,Wood,Pack,,,,3300.0,3300.0,0.0,,,CURIOUS CUB PRIVATE LIMITED,Myntra,https://www.myntra.com/activity-toys-and-games/curiouscub/curious-cub-kids-montessori-learning-wooden-toys/24440664/buy,Direct Wooden Toy,2026-09-17,
Kids Maze Puzzle Wooden Toys,Puzzle,Wood,Wood,One size,,,,245.0,1300.0,81.0,,,MAGADH TECHNO SERVICES PRIVATE LIMITED,Myntra,https://www.myntra.com/activity-toys-and-games/littleginnie/little-ginnie-kids-maze-puzzle-wooden-toys/30841243/buy,Direct Wooden Toy,2026-09-17,
